objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"10 Days in Europe","5867","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117664373","6.0325","6.60575","1.3425","2828","2785","thing","10 Days in Europe","2","4","30","30","20","2002","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders (Second Edition)","316377","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696699","7.31736","7.8395","2.3057","220","15656","thing","7 Wonders (Second Edition)","3","7","30","30","30","2020","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696706","7.96533","8.08936","2.2255","20","168136","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Towers","214989","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696456","5.6402","6.44196","2.1429","7267","1299","thing","Age of Towers","1","4","75","75","45","2018","1,2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697430","7.73971","7.86838","3.6354","57","87416","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Airship City","256442","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695541","5.7833","6.90563","3.1905","4699","1711","thing","Airship City","3","4","120","120","75","2018","3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Akrotiri","154458","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117696984","6.62542","7.16602","2.6383","998","7955","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ALIEN: Fate of the Nostromo","332321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117695714","6.28673","7.08261","1.94","1790","7229","thing","ALIEN: Fate of the Nostromo","1","5","60","60","45","2021","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal","17329","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117665264","6.49938","6.77468","1.039","1246","14011","thing","Animal Upon Animal","2","4","15","15","15","2005","2,3,4","4","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Apples to Apples","74","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117694045","5.63221","5.74551","1.1536","7519","30360","thing","Apples to Apples","4","10","30","30","20","1999","4,5,6,7,8,9,10","6,7,8","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Apples to Apples Dice Game","116422","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117784435","5.47095","4.72088","1.1667","26763","479","thing","Apples to Apples Dice Game","3","6","30","30","15","2011","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aqualin","295948","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697157","6.14011","6.95424","1.5273","2321","3831","thing","Aqualin","2","2","20","20","20","2020","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","117697041","7.08921","7.27681","2.1262","387","39924","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
